Semanas,Pumas,Zorros
0.0,400.0,400.0
1.0,429.03832448550673,314.76581020088514
2.0,457.2242722308389,247.87121949694804
3.0,484.2326313786445,195.32801570873053
4.0,509.8302764164679,154.02411583871108
5.0,533.8704627289611,121.52971384821709
6.0,556.2812729743675,95.94634363855256
7.0,577.0511372003224,75.78945507573437
8.0,596.2138678505148,59.89711079366364
9.0,613.8348969345044,47.35900629094476
10.0,629.999646396555,37.46128038216686
11.0,644.8043562441462,29.6435823733568
12.0,658.3492868898131,23.465648748500826
13.0,670.7339858766895,18.581258268630915
14.0,682.0542196265392,14.71791452123725
15.0,692.400169224836,11.660977914186548
16.0,701.8555351938998,9.24125792592804
17.0,710.4972613789537,7.325299524928346
18.0,718.3956551792298,5.807770056725697
19.0,725.6147413781207,4.605485846864935
20.0,732.2127361308854,3.652720559625209
